Country,Requirement
Afghanistan,VISA+Airport transit VISA
Algeria,VISA
Angola,VISA
Armenia,VISA
Azerbaijan,VISA
Bahrain,VISA
Bangladesh,VISA+Airport transit VISA
Belarus,VISA
Belize,VISA
Benin,VISA
Bhutan,VISA
Bolivia,VISA
Botswana,VISA
Burkina Faso,VISA
Burma/Myanmar,VISA
Burundi,VISA
Cambodia,VISA
Cameroon,VISA
Cape Verde,VISA
Central African Republic,VISA
Chad,VISA
China,VISA
Comoros,VISA
Congo,VISA
Cote D’ivoire,VISA
Cuba,VISA
Dem. Rep. Of Congo,VISA+Airport transit VISA
Djibouti,VISA
Dominica,VISA
Dominican Republic,VISA
Ecuador,VISA
Egypt,VISA
Equatorial Guinea,VISA
Eritrea,VISA+Airport transit VISA
Ethiopia,VISA+Airport transit VISA
Fiji,VISA
Gabon,VISA
Gambia,VISA
Georgia,VISA
Ghana,VISA+Airport transit VISA
Grenada,VISA
Kuwait,VISA
Kyrgyzstan,VISA
Laos,VISA
Lebanon,VISA
Lesotho,VISA
Liberia,VISA
Libya,VISA
Madagascar,VISA
Malawi,VISA
Maldives,VISA
Mali,VISA
Marshall Islands,VISA
Mauritania,VISA
Micronesia,VISA
Moldova,VISA
Mongolia,VISA
Morocco,VISA
Mozambique,VISA
Namibia,VISA
Nauru,VISA
Nepal,VISA
Niger,VISA
Nigeria,VISA+Airport transit VISA
North Korea,VISA
Northern Mariana’s,VISA
Oman,VISA
Pakistan,VISA+Airport transit VISA
Palau,VISA
Papua New Guinea,VISA
Peru,VISA
Philippines,VISA
Qatar,VISA
Russia,VISA
Rwanda,VISA
Samoa,VISA
Sao Tome And Principe,VISA
Saudi Arabia,VISA
Senegal,VISA
Sierra Leone,VISA
Solomon Islands,VISA
Somalia,VISA+Airport transit VISA
South Africa,VISA
Sri Lanka,VISA+Airport transit VISA
St Lucia,VISA
St Vincent & The Grenadines,VISA
Sudan,VISA
Suriname,VISA
Swaziland,VISA
Syria,VISA
Tajikistan,VISA
Tanzania,VISA
Thailand,VISA
Timor-Leste,VISA
Togo,VISA
Tonga,VISA
Trinidad and Tobago,VISA
Tunisia,VISA
Turkey,VISA
Turkmenistan,VISA
Uganda,VISA
Ukraine,VISA
Uzbekistan,VISA
Vanuatu,VISA
Vietnam,VISA
Yemen,VISA
Zambia,VISA
Zimbabwe,VISA
Kosova,VISA
Guyana,VISA
Haiti,VISA
India,VISA
Indonesia,VISA
Iran,VISA+Airport transit VISA
Iraq,VISA+Airport transit VISA
Jamaica,VISA
Jordan,VISA
Kazakhstan,VISA
Kenya,VISA
Guinea,VISA
Guinea-Bissau,VISA
Kiribati,NO VISA
Colombia,NO VISA
Tuvalu,NO VISA
